id,name,full_name,url,description,last_updated,flavors,curse_id,wago_id,wowi_id,has_release_json,last_seen,downloads,release_count
520660030,CurrencySorter,Andols0/CurrencySorter,https://github.com/Andols0/CurrencySorter,,2025-12-26T11:16:19Z,mainline,88028,,,True,2026-04-05T23:28:23Z,2300,13
520158461,Deyfightin,Andols0/Deyfightin,https://github.com/Andols0/Deyfightin,,2025-12-26T11:17:22Z,mainline,94079,,,True,2026-04-05T23:28:23Z,217,10
520597142,GarrisonShuffle,Andols0/GarrisonShuffle,https://github.com/Andols0/GarrisonShuffle,,2025-12-26T11:18:20Z,mainline,91222,,,True,2026-04-05T23:28:23Z,93,4
520665036,ReputationSorter,Andols0/ReputationSorter,https://github.com/Andols0/ReputationSorter,,2025-12-26T11:20:38Z,mainline,91544,,,True,2026-04-05T23:28:23Z,96,4
520653524,Train-All,Andols0/Train-All,https://github.com/Andols0/Train-All,,2025-12-26T13:15:09Z,"mainline,vanilla,tbc,wrath,mists",101201,,,True,2026-04-05T23:28:23Z,9860,14
471844726,ItemCache,Anonomit/ItemCache,https://github.com/Anonomit/ItemCache,"WoW addon. Caches item data returned by GetItemInfo() and more. Can be run standalone to store data between sessions, or can be embedded as a library.",2026-03-20T00:48:36Z,"vanilla,tbc,cata,mists",591277,RqGZgQNd,,True,2026-04-05T23:28:23Z,412,20
383263077,LootReserve,Anonomit/LootReserve,https://github.com/Anonomit/LootReserve,WoW classic addon that helps master looters roll and distribute items.,2026-03-21T03:42:01Z,"vanilla,tbc,cata,mists",390790,WL6JpyGv,,True,2026-04-05T23:28:23Z,73761,85
860255208,Luckometer,Anonomit/Luckometer,https://github.com/Anonomit/Luckometer,WoW classic addon that tracks how lucky your random rolls are.,2026-01-14T02:03:18Z,"vanilla,tbc,cata,mists",1105259,b6mbeqKP,,True,2026-04-05T23:28:23Z,96,11
412705213,ZeraTooltip,Anonomit/ZeraTooltip,https://github.com/Anonomit/ZeraTooltip,WoW Classic addon which simplifies tooltip text.,2026-03-28T01:20:24Z,"vanilla,tbc,cata,mists",533049,Qb6mJ1KP,,True,2026-04-05T23:28:23Z,991,50
555098152,ZooKeeper,Anonomit/ZooKeeper,https://github.com/Anonomit/ZooKeeper,A WoW Classic addon which adds slash commands to summon a companion or mount.,2024-03-22T23:54:33Z,"vanilla,wrath",689881,5bGo4nN0,,True,2026-04-05T23:28:23Z,318,16
